scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4653           6304           3286       3.211e-4       3.262e-1       7.780e-7
   1           2295           9292           7251       9.694e-4       3.281e-1       5.070e-8
   1           3504           7560           4646       8.338e-4       1.536e-1       1.976e-8
   1           4010          12372          14869       1.107e-3       2.903e-1       3.361e-8
   1           2596          13143           1460       7.540e-4       3.442e-1       2.118e-7
   1           4498          15133            514       5.343e-4       3.214e-1       2.009e-8
   1           5639           6905           4514       6.216e-4       1.936e-1       5.816e-8
   1           2391          10957           7961       7.316e-4       2.583e-1       1.502e-5
   1           4597          14033           1620       6.478e-4       3.171e-1       2.637e-7
   1           2883          12742           9084       7.855e-4       2.424e-1       1.551e-7
   1           2392          13829           6420       1.006e-3       3.404e-1       3.890e-8
   1           2705           6975           3381       6.860e-4       3.482e-1       1.250e-5
   1           3170          10139           5045       7.525e-4       2.179e-1       1.407e-5
   1           1625           7068           9871       1.145e-3       3.333e-1       5.863e-6
   1           1978           9538           9526       6.193e-4       3.188e-1       1.005e-5
   1           4445           3462           3064       7.392e-4       2.763e-1       3.266e-6
   1           3905           5692           6405       3.469e-4       3.518e-1       9.798e-6
   1           2388          13340           7810       9.705e-4       3.020e-1       6.222e-7
   1           2181           6995           7160       7.254e-4       3.040e-1       1.867e-7
   1           4670          17085           6014       3.941e-4       3.113e-1       8.808e-7
   1           5327          12329           2930       4.066e-4       3.451e-1       3.063e-7
   1           4132          16446           4104       3.476e-4       3.513e-1       1.335e-6
   1           3133          15441           8454       6.029e-4       3.501e-1       3.162e-7
   1           2127           8402            455       7.826e-4       2.572e-1       2.100e-6
   1           3192          10351           9697       8.109e-4       2.218e-1       1.421e-5
   1           3867          14720           4644       5.020e-4       2.535e-1       3.684e-6
   1           6273          18457           5100       7.432e-4       3.488e-1       1.214e-6
   1           6433           5440           5838       4.504e-4       2.977e-1       3.488e-8
   1           3721          11766           7582       3.649e-4       2.842e-1       3.611e-7
   1           3274           7366           3056       7.596e-4       3.253e-1       2.111e-8
   1           3467           6035           7815       4.497e-4       3.365e-1       2.289e-8
   1           2887          11575           6140       7.214e-4       2.005e-1       1.119e-6
   1           2006          12837           7261       7.612e-4       3.523e-1       2.579e-8
   1           2521           5318           4189       7.949e-4       2.938e-1       6.525e-8
   1           3548          15055           1755       7.629e-4       3.020e-1       3.749e-6
   1           4879           6706           5117       9.951e-4       3.219e-1       5.912e-8
   1           4123           7282           4480       6.583e-4       3.124e-1       8.882e-7
   1           4579           6869           3375       5.923e-4       2.938e-1       1.588e-8
   1           5143          11433           7293       5.914e-4       2.751e-1       5.063e-8
   1           3801           6587           2842       8.261e-4       1.312e-1       8.062e-7
   1           3476           7611          13123       1.113e-3       3.132e-1       8.431e-7
   1           3865          15235           8541       4.925e-4       3.411e-1       4.867e-8
   1           2664           4534            899       1.063e-3       3.360e-1       1.473e-6
   1           2746           4606           9368       1.014e-3       2.147e-1       4.428e-8
   1           5936           9524           7472       6.742e-4       1.919e-1       1.850e-6
   1           2900           3672           2750       5.678e-4       2.939e-1       1.634e-7
   1           3945          11223           9249       4.087e-4       3.214e-1       4.221e-7
   1           3354           6744           3854       5.869e-4       3.108e-1       1.076e-6
   1           3379          12169           3678       5.871e-4       3.429e-1       6.275e-6
   1           3809          11299           6955       4.531e-4       3.108e-1       3.727e-6
   1           2722           7867           7997       6.977e-4       2.533e-1       2.753e-8
   1           3737          13423            724       5.595e-4       2.656e-1       4.378e-7
   1           4430          10485           9745       3.675e-4       2.539e-1       2.867e-6
   1           6140          10533           1821       5.599e-4       3.229e-1       5.445e-7
   1           3627          16035           8863       7.347e-4       3.345e-1       3.706e-7
   1           2619          13279           2824       7.555e-4       3.386e-1       1.974e-6
   1           2592           3906            623       9.781e-4       2.770e-1       1.220e-5
   1           2695           8716          10909       1.015e-3       1.608e-1       5.008e-8
   1           2728           6544           4628       8.648e-4       3.034e-1       1.622e-7
   1           4802           9748           2881       8.776e-4       3.468e-1       8.197e-6
   1           3986           5618          10319       1.057e-3       2.785e-1       4.859e-6
   1           3900          12354           5740       3.231e-4       3.208e-1       4.735e-7
   1           2571          15211           5770       9.289e-4       3.217e-1       1.562e-6
   1           2898           6204           4230       6.284e-4       3.047e-1       1.272e-5
   1           3825           6139          10215       1.179e-3       2.591e-1       6.290e-8
   1           3035          17610           6076       7.076e-4       3.176e-1       1.634e-8
   1           2092          10937           5696       7.738e-4       2.694e-1       4.373e-8
   1           2966           7149           3473       4.552e-4       3.140e-1       1.794e-8
   1           3601          11760           9357       1.027e-3       2.462e-1       1.721e-8
   1           3133          16635           2249       4.856e-4       3.371e-1       1.573e-8
   1           4416          12006           6952       9.260e-4       2.462e-1       2.495e-7
   1           2164           9362           1689       6.721e-4       2.127e-1       1.615e-8
   1           3748          10542           7519       9.022e-4       3.122e-1       1.805e-6
   1           3633          12650          11801       6.251e-4       2.612e-1       3.548e-8
   1           4516          12225           4868       5.356e-4       3.416e-1       1.042e-5
   1           3855          13621           9856       4.465e-4       3.226e-1       1.721e-8
   1           3792          11138           3087       5.116e-4       3.213e-1       1.983e-7
   1           4758          10615           6029       6.300e-4       1.799e-1       2.785e-8
   1           4852           3256           5108       4.073e-4       2.971e-1       2.754e-6
   1           4691           3886           1080       1.005e-3       3.016e-1       1.514e-5
   1           3095           6995           2125       4.863e-4       3.257e-1       8.013e-6
   1           4756           5220           3343       4.261e-4       2.513e-1       1.097e-6
   1           4372           9367           5076       7.550e-4       2.944e-1       2.828e-8
   1           4952          10167           2561       3.622e-4       3.576e-1       1.166e-5
   1           6664          11180          11620       2.231e-4       3.482e-1       1.040e-6
   1           3670           8903           7599       1.055e-3       3.433e-1       7.844e-8
   1           4899           6379           4521       2.768e-4       2.586e-1       7.284e-6
   1           3639          16163           7617       5.896e-4       3.273e-1       4.257e-6
   1           3409           7595            240       8.079e-4       2.985e-1       1.269e-6
   1           4012          11717          15240       7.745e-4       3.039e-1       4.616e-6
   1           3740          11090           6652       4.333e-4       3.016e-1       6.636e-7
   1           2611           9653           7698       9.475e-4       3.271e-1       2.581e-7
   1           2658          17098           5291       1.086e-3       1.952e-1       1.397e-7
   1           4782           9662           2745       4.728e-4       3.415e-1       7.879e-6
   1           3923          13067          10951       5.910e-4       3.223e-1       3.212e-7
   1           2850          12450           8357       6.054e-4       3.493e-1       3.192e-7
   1           4513          10349           5842       4.683e-4       2.150e-1       5.964e-8
   1           5210           9602           2830       5.571e-4       3.233e-1       3.452e-7
   1           3952           9685           2346       6.307e-4       3.264e-1       2.960e-8
   1           3535           5838           5533       6.438e-4       2.506e-1       3.385e-6
   1           3915           8663           6563       8.098e-4       2.395e-1       8.063e-7
   1           2278           5242           2332       1.054e-3       3.197e-1       1.751e-6
   1           4137           8995           9507       4.924e-4       3.130e-1       2.372e-6
   1           2935           8782            455       8.129e-4       2.809e-1       9.343e-6
   1           2377           8625           5586       6.596e-4       2.735e-1       3.762e-6
