scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3561          11252           8977       8.492e-4       2.270e-1       1.007e-6
   1           4229           7252           7019       7.585e-4       1.935e-1       4.148e-8
   1           3740          14568           1709       6.600e-4       2.524e-1       1.073e-6
   1           5217           9247           6231       3.781e-4       3.000e-1       9.691e-6
   1           3038           7964           5568       8.101e-4       2.996e-1       1.913e-8
   1           3681           3259           1643       9.408e-4       2.940e-1       1.234e-8
   1           3676           8816          12389       9.481e-4       2.772e-1       1.519e-6
   1           3795          16291            513       7.563e-4       2.459e-1       1.029e-6
   1           4610           6493           3012       3.530e-4       2.969e-1       8.783e-7
   1           2376           9361           7419       8.787e-4       2.978e-1       5.251e-8
   1           3533           7654           4462       8.312e-4       1.611e-1       1.329e-8
   1           4004          12195          19611       9.484e-4       2.809e-1       3.199e-8
   1           2613          12957           1306       7.539e-4       3.000e-1       2.438e-7
   1           4467          14828            458       5.615e-4       2.942e-1       1.768e-8
   1           5652           7005           4352       6.285e-4       2.075e-1       6.092e-8
   1           2396          10885           8296       7.384e-4       2.589e-1       9.706e-6
   1           4596          13641           1433       6.550e-4       2.920e-1       2.984e-7
   1           2929          12516          10119       7.665e-4       2.488e-1       1.765e-7
   1           2440          13392           6534       9.309e-4       3.000e-1       3.828e-8
   1           2788           7152           3119       6.940e-4       3.000e-1       9.593e-6
   1           3211          10146           4885       7.380e-4       2.272e-1       9.323e-6
   1           1722           7233          11070       9.563e-4       3.000e-1       5.474e-6
   1           2074           9614           9854       6.428e-4       2.967e-1       9.607e-6
   1           4410           3635           2798       7.295e-4       2.706e-1       3.284e-6
   1           3921           5858           6401       3.756e-4       3.000e-1       8.148e-6
   1           2423          13087           8168       9.234e-4       2.845e-1       7.108e-7
   1           2265           7152           7444       7.190e-4       2.877e-1       2.075e-7
   1           4698          16277           6020       4.108e-4       2.894e-1       1.002e-6
   1           5227          12126           2661       4.427e-4       3.000e-1       3.472e-7
   1           4118          15947           3871       3.862e-4       3.000e-1       1.436e-6
   1           3161          15111           8895       6.107e-4       3.000e-1       3.654e-7
   1           2224           8546            410       7.611e-4       2.579e-1       2.160e-6
   1           3232          10276          10883       7.901e-4       2.329e-1       1.000e-5
   1           3871          14449           4428       5.424e-4       2.554e-1       3.627e-6
   1           6042          17773           4934       7.335e-4       3.000e-1       1.297e-6
   1           6261           5607           5757       4.770e-4       2.837e-1       3.193e-8
   1           3739          11729           7771       4.109e-4       2.755e-1       3.958e-7
   1           3321           7531           2792       7.451e-4       2.957e-1       1.732e-8
   1           3502           6210           8114       4.806e-4       3.000e-1       2.004e-8
   1           2955          11609           6039       7.191e-4       2.110e-1       1.192e-6
   1           2042          12689           7431       7.512e-4       3.000e-1       2.227e-8
   1           2590           5486           3991       7.682e-4       2.818e-1       6.738e-8
   1           3582          14581           1538       7.461e-4       2.855e-1       3.698e-6
   1           4846           6858           4954       9.182e-4       2.940e-1       6.204e-8
   1           4164           7386           4289       6.628e-4       2.896e-1       1.003e-6
   1           4565           7009           3153       6.082e-4       2.806e-1       1.309e-8
   1           5152          11379           7441       6.021e-4       2.702e-1       5.210e-8
   1           3842           6693           2616       8.202e-4       1.289e-1       9.134e-7
   1           3512           7762          16455       9.773e-4       2.900e-1       9.487e-7
   1           3897          14838           8907       5.038e-4       3.000e-1       5.030e-8
   1           2707           4663            793       9.804e-4       3.000e-1       1.576e-6
   1           2812           4759           9921       9.097e-4       2.253e-1       4.565e-8
   1           5708           9660           7517       6.814e-4       2.038e-1       1.938e-6
   1           2964           3841           2523       5.979e-4       2.808e-1       1.786e-7
   1           3947          11189          10110       4.461e-4       2.979e-1       4.755e-7
   1           3385           6799           3673       5.902e-4       2.902e-1       1.182e-6
   1           3423          12089           3463       6.182e-4       3.000e-1       5.967e-6
   1           3829          11179           7205       4.889e-4       2.912e-1       3.683e-6
   1           2719           7889           8265       7.156e-4       2.545e-1       2.404e-8
   1           3759          13174            620       5.886e-4       2.643e-1       4.990e-7
   1           4369          10537          10559       4.158e-4       2.555e-1       2.902e-6
   1           5769          10540           1640       6.021e-4       2.994e-1       5.786e-7
   1           3664          15357           9586       7.307e-4       3.000e-1       4.191e-7
   1           2650          13058           2594       7.492e-4       3.000e-1       2.122e-6
