State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
3041	0.176471	-4051.605888	2.814764	0.321305	4.232357	0.325901	-2.751811	0.254686	4.627695	0.947534
3042	0.156627	-4122.866243	3.610487	0.323829	5.048182	0.410093	-3.580982	0.265967	5.456867	0.901707
3043	0.224138	-3532.602828	3.604151	0.349421	5.041846	0.148582	-3.574646	0.130097	5.45053	0.85217
3044	0.259259	-3471.304617	3.233658	0.329443	4.692449	0.421031	-3.158877	0.115894	5.034762	0.869643
3045	0.232323	-3408.961372	3.30906	0.307742	4.767851	0.232406	-3.234279	0.105508	5.110164	0.822615
3046	0.180851	-3796.368139	3.207456	0.306878	4.654691	0.087674	-3.135383	0.098863	5.011267	0.822615
3047	0.193878	-3546.576558	4.116576	0.337257	5.39558	0.110498	-4.044503	0.188215	5.920387	0.843276
3048	0.206186	-3547.94568	4.361056	0.337257	5.62311	0.079917	-4.288983	0.149994	6.164868	0.687482
3049	0.179245	-3559.070733	3.775251	0.337257	5.147283	0.147245	-3.678063	0.142771	5.579063	0.673954
3050	0.158879	-3716.515004	2.482042	0.316688	3.778855	0.107077	-2.384854	0.15149	4.285854	0.62497
3051	0.191489	-3594.564238	4.737092	0.352463	6.033905	0.174961	-4.639904	0.062609	6.540904	0.716912
3052	0.182796	-3439.280233	3.645801	0.380765	4.942614	0.249057	-3.548613	0.098484	5.449613	0.716912
3053	0.192308	-4001.860094	2.967607	0.374105	4.26442	0.239342	-2.870419	0.046565	4.771419	0.763843
3054	0.228261	-3337.764166	4.459384	0.339703	5.708189	0.222642	-4.271816	0.092684	6.172816	0.603738
3055	0.220183	-3641.738216	3.20231	0.339703	4.451115	0.233768	-3.014742	0.121288	4.915742	0.644649
3056	0.138889	-3843.770673	3.494868	0.329574	4.789312	0.22083	-3.400871	0.055571	5.208299	0.632732
3057	0.175	-3764.881992	3.508332	0.328497	4.802776	0.248481	-3.414335	0.038454	5.221763	0.607351
3058	0.286957	-3504.567666	3.402827	0.306094	4.791604	0.096728	-3.283289	0.040253	5.090717	0.640367
3059	0.2	-3552.750495	2.123273	0.303696	3.51205	0.126898	-2.003735	0.038887	3.811164	0.619039
3060	0.368421	-3626.442882	4.576773	0.319077	5.96555	0.085736	-4.457235	0.029637	6.264663	0.62959
3061	0.220183	-3640.52136	5.183755	0.319077	6.618644	0.121542	-5.064217	0.040311	6.871645	0.62959
