State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1479	0.16	-5154.669264	3.803832	0.10168	4.44091	0.752888	-3.773945	0.378858	3.822735	0.303864
1480	0.311828	-5172.004381	3.958425	0.034871	4.595503	0.653968	-3.928538	0.431035	3.977328	0.301746
1481	0.175824	-5324.12451	3.620713	0.049811	4.343392	0.643217	-3.676427	0.476299	3.639616	0.304984
1482	0.163043	-5160.412177	3.10224	0.092903	3.815292	0.611458	-3.157955	0.387719	3.121144	0.223766
1483	0.133333	-5438.45452	2.973763	0.090815	3.686815	0.643347	-3.029477	0.30567	2.992666	0.205602
1484	0.141414	-5321.075785	3.419576	0.123531	4.132628	0.565564	-3.444084	0.385052	3.407273	0.306519
1485	0.126437	-5128.594372	2.947325	0.110807	3.668361	0.503959	-2.971833	0.5293	2.935022	0.358228
1486	0.233645	-4601.8766	3.694057	0.15238	4.381715	0.538178	-3.685187	0.453989	3.648376	0.355199
1487	0.184466	-5018.368406	3.391107	0.041466	4.078765	0.649656	-3.382237	0.392373	3.345426	0.450487
1488	0.12381	-4735.007533	5.322145	0.055253	6.009804	0.555501	-5.313276	0.393905	5.276465	0.525551
1489	0.198113	-4565.997495	4.997531	0.148459	5.715422	0.521464	-4.988661	0.477344	4.95185	0.5193
1490	0.186813	-4714.227703	4.213443	0.102117	4.931335	0.417663	-4.204573	0.40483	4.167762	0.53565
1491	0.189189	-4808.896737	3.056451	0.153678	3.806374	0.449714	-3.079613	0.364399	3.042802	0.184227
1492	0.111111	-4875.100987	5.820875	0.159591	6.570798	0.456198	-5.858059	0.331774	5.821248	0.131672
1493	0.195876	-4601.56653	2.91927	0.089947	3.669193	0.461201	-2.914946	0.500243	2.919642	0.478181
1494	0.254386	-4394.161618	4.875723	0.060575	5.625647	0.492289	-4.87956	0.490788	4.884256	0.437007
1495	0.195876	-4897.177356	4.215987	0.163651	4.96591	0.417107	-4.219823	0.489884	4.224519	0.259537
1496	0.174419	-4734.744159	3.698625	0.188641	4.448548	0.390143	-3.702462	0.539064	3.707157	0.27809
1497	0.190476	-5092.086968	4.500993	0.190331	5.315196	0.363487	-4.617145	0.523352	4.573266	0.1204
1498	0.198113	-5159.233251	3.323948	0.096043	4.07026	0.366866	-3.423561	0.602221	3.379682	0.135607
1499	0.20155	-4944.000191	3.51977	0.160963	4.266082	0.271277	-3.619383	0.660037	3.575504	0.206805
1500	0.168421	-4909.791237	5.195898	0.228567	5.942209	0.304806	-5.295511	0.498312	5.251632	0.108221
1501	0.245455	-4870.261954	4.753823	0.270612	5.4326	0.3013	-4.785901	0.508826	4.809557	0.022979
1502	0.285714	-4767.628792	2.383234	0.253511	3.06201	0.267879	-2.415312	0.552481	2.438968	0.022793
1503	0.208791	-4994.045646	2.674777	0.349982	3.353553	0.343301	-2.738809	0.57737	2.730511	0.072772
1504	0.333333	-4904.903658	2.506387	0.261652	3.260531	0.306228	-2.608909	0.625384	2.58231	0.12448
1505	0.293478	-4774.47216	2.686552	0.249688	3.440697	0.313413	-2.789074	0.657517	2.762475	0.163434
1506	0.284314	-5185.739247	2.832787	0.30725	3.586931	0.38324	-2.935309	0.555882	2.90871	0.032581
1507	0.240741	-4436.031054	2.317297	0.259817	2.977246	0.237616	-2.252432	0.503258	2.39322	0.078407
1508	0.202381	-4760.845234	0.892162	0.175619	1.552111	0.249266	-0.827297	0.470659	0.968085	0.116006
1509	0.181034	-4751.298	2.252995	0.175619	2.912944	0.20061	-2.231806	0.472381	2.372594	0.128777
1510	0.115044	-4684.469428	3.804174	0.22551	4.526365	0.195342	-3.845227	0.540961	3.923773	0.173087
1511	0.15625	-4930.794045	1.868092	0.226531	2.590282	0.189207	-1.909144	0.519302	1.98769	0.14363
1512	0.168224	-5071.396452	2.544244	0.281788	3.217697	0.214518	-2.585296	0.585602	2.663842	0.183203
1513	0.159574	-4995.64029	2.627967	0.29339	3.30142	0.214518	-2.66902	0.519517	2.747566	0.266753
1514	0.12	-4981.501053	2.848896	0.275031	3.522349	0.260092	-2.889949	0.478894	2.968495	0.171148
1515	0.135417	-4989.456686	4.603487	0.265247	5.27694	0.261172	-4.666343	0.478894	4.723086	0.184411
1516	0.2	-5094.538533	2.235077	0.347252	2.90853	0.254883	-2.311284	0.447095	2.354675	0.355033
1517	0.163043	-4669.954084	3.734746	0.305727	4.316674	0.27359	-3.719428	0.450554	3.854344	0.330279
1518	0.175439	-4679.721872	2.499508	0.326366	3.081437	0.258493	-2.484191	0.473713	2.619107	0.489431
1519	0.046512	-4980.535957	4.232243	0.372212	4.879844	0.29316	-4.282598	0.473713	4.417514	0.464033
1520	0.135417	-4710.316408	3.370805	0.359749	4.018406	0.25933	-3.42116	0.485547	3.556076	0.476737
1521	0.063291	-4768.486343	3.183544	0.366007	3.831475	0.260172	-3.234229	0.478143	3.369145	0.469558
1522	0.179245	-4690.22856	3.029862	0.354068	3.727636	0.276509	-3.193545	0.521261	3.215462	0.62144
