scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          10.331           8.540
   1           1.000        4.870e-1           8.540
   1           1.000        7.114e-1           8.540
   1           1.000           9.745           8.540
   1           1.000          10.520           8.540
   1           1.000           9.532           8.540
   1           1.000           4.626           8.540
   1           1.000          10.520           8.540
   1           1.000          10.410           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           1.925           8.540
   1           1.000          10.520           8.540
   1           1.000           8.183           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.824           8.540
   1           1.000           1.578           8.540
   1           1.000           1.534           8.540
   1           1.000           1.505           8.540
   1           1.000           8.978           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           3.019           8.540
   1           1.000           1.739           8.540
   1           1.000          10.520           8.540
   1           1.000        5.171e-1           8.540
   1           1.000          10.520           8.540
   1           1.000           7.742           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.850           8.540
   1           1.000        5.160e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.198           8.540
   1           1.000          10.520           8.540
   1           1.000        8.498e-2           8.540
   1           1.000          10.451           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000        1.913e-2           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           3.525           8.540
   1           1.000        2.428e-1        1.690e-2
   1           1.000        1.991e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.378           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.378           8.540
   1           1.000        2.542e-1           8.540
   1           1.000          10.520           8.540
   1           1.000           8.195           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.888           8.540
   1           1.000           9.336           8.540
   1           1.000          10.520           8.540
   1           1.000        2.016e-1           8.540
   1           1.000          10.095           8.540
   1           1.000           1.578           8.540
   1           1.000        9.893e-1           8.540
   1           1.000           7.273           8.540
   1           1.000           7.299           8.540
   1           1.000          10.294           8.540
   1           1.000          10.520           8.540
   1           1.000           5.492           8.540
   1           1.000          10.520           8.540
   1           1.000           8.193           8.540
   1           1.000           9.781           8.540
   1           1.000           7.438           8.540
   1           1.000        2.777e-1           8.540
   1           1.000          10.520           8.540
   1           1.000        6.264e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           3.771           8.540
   1           1.000           9.449           8.540
   1           1.000           5.951           8.540
   1           1.000          10.520           8.540
   1           1.000        1.809e-2           8.540
   1           1.000          10.320           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000        8.936e-1           8.540
   1           1.000          10.198           8.540
   1           1.000           5.338           8.540
   1           1.000          10.520           8.540
   1           1.000           1.722           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.804           8.540
   1           1.000        8.361e-2           8.540
   1           1.000           6.905           8.540
   1           1.000          10.509           8.540
   1           1.000        5.156e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           2.045           8.540
   1           1.000           8.414           8.540
   1           1.000           7.041           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.630           8.540
   1           1.000           9.418           8.540
   1           1.000           3.304           8.540
   1           1.000          10.520           8.540
   1           1.000           9.627           8.540
   1           1.000           8.338           8.540
   1           1.000           4.807           8.540
   1           1.000          10.520           8.540
   1           1.000        1.980e-1           8.540
   1           1.000        6.739e-2           8.540
   1           1.000          10.156           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           4.359           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.022           8.540
   1           1.000           6.414           8.540
