scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           1.970        1.723e-1        1.403e-2
   1        7.410e-1        4.309e-2        1.403e-2
   1           4.725           1.444        1.403e-2
   1           1.446        9.880e-2        1.403e-2
   1           1.543        4.386e-2        1.403e-2
   1           1.427        2.749e-1        1.403e-2
   1           2.112           7.257        1.403e-2
   1           3.570        4.305e-1        1.403e-2
   1           2.891           1.094        1.403e-2
   1           3.277           1.516        1.403e-2
   1           1.984        3.825e-1        1.403e-2
   1           2.352        9.789e-1        1.403e-2
   1        7.761e-1        2.170e-1        1.403e-2
   1           1.245        1.003e-1        1.403e-2
   1           2.231        3.375e-1        1.403e-2
   1           2.589        6.956e-1        1.403e-2
   1           1.465           2.642        1.403e-2
   1           1.422        1.842e-1        1.403e-2
   1           1.533        3.560e-1        1.403e-2
   1           1.657        2.164e-1        1.403e-2
   1           2.300        2.076e-1        1.403e-2
   1        8.987e-1        1.017e-1        1.403e-2
   1           1.624        1.070e-1        1.403e-2
   1        8.228e-1        1.042e-1        1.403e-2
   1           3.306           8.836        1.403e-2
   1           2.134        1.970e-1        1.403e-2
   1           3.457        8.847e-1        1.403e-2
   1           1.492        3.945e-1        1.403e-2
   1           2.866        6.941e-1        1.403e-2
   1        9.489e-1        5.662e-1        1.403e-2
   1           3.148          10.178        1.403e-2
   1           2.503        5.218e-1        1.403e-2
   1           1.475        4.799e-1        1.403e-2
   1           1.964        9.982e-1        1.403e-2
   1           1.107        1.842e-1        1.403e-2
   1           2.578        3.240e-1        1.403e-2
   1           2.947           8.745        1.403e-2
   1           3.256           1.482        1.403e-2
   1           1.902        6.774e-1        1.403e-2
   1           1.053        1.043e-1        1.403e-2
   1           1.533        3.518e-1        1.403e-2
   1           1.248        9.056e-1        1.403e-2
   1           2.791           9.363        1.403e-2
   1           1.937           2.580        1.403e-2
   1           2.051           2.518        1.403e-2
   1           1.583        2.435e-1        1.403e-2
   1        6.525e-1        4.604e-2        1.403e-2
   1           1.843        9.180e-1        1.403e-2
   1           2.130        1.557e-1        1.403e-2
   1           2.722        5.303e-1        1.403e-2
   1           1.930        2.282e-1        1.403e-2
   1        9.443e-1        1.354e-1        1.403e-2
   1           3.278           4.638        1.403e-2
   1           1.023        5.280e-1        1.403e-2
   1           2.141        2.319e-1        1.403e-2
   1           3.712        9.788e-1        1.403e-2
   1           2.065           1.101        1.403e-2
   1           2.124           1.422        1.403e-2
   1           2.312        7.330e-1        1.403e-2
   1           2.735        5.221e-1        1.403e-2
   1           2.051        9.450e-1        1.403e-2
   1           2.014        5.532e-2        1.403e-2
   1           1.649        2.938e-1        1.403e-2
   1           1.177           1.174        1.403e-2
   1        8.694e-1           1.119        1.403e-2
   1           1.575        6.244e-1        1.403e-2
   1           1.850        2.340e-1        1.403e-2
   1           1.119        6.294e-2        1.403e-2
   1        8.688e-1        1.583e-1        1.403e-2
   1           2.252           1.012        1.403e-2
   1           1.215        1.803e-1        1.403e-2
   1        9.176e-1        8.999e-1        1.403e-2
   1           1.282        2.154e-1        1.403e-2
   1           1.541        6.452e-2        1.403e-2
   1        6.947e-1        8.878e-2        1.403e-2
   1           1.436           3.976        1.403e-2
   1           2.020        1.823e-1        1.403e-2
   1           1.405        5.345e-2        1.403e-2
   1           3.469           2.920        1.403e-2
   1           1.621        8.022e-1        1.403e-2
   1           1.178        1.129e-1        1.403e-2
   1           1.566           1.280        1.403e-2
   1           4.456           7.455        1.403e-2
   1           1.895        9.865e-2        1.403e-2
   1           2.119        4.212e-1        1.403e-2
   1        9.789e-1        1.498e-1        1.403e-2
   1           3.817        1.986e-1        1.403e-2
   1           2.316        8.638e-1        1.403e-2
   1           1.391           1.746        1.403e-2
   1           3.221        5.911e-1        1.403e-2
   1           1.135        1.737e-1        1.403e-2
   1           2.694        4.302e-1        1.403e-2
   1        9.273e-1          19.208        1.403e-2
   1           2.308           3.194        1.403e-2
   1           2.636        9.634e-2        1.403e-2
   1           3.369           2.598        1.403e-2
   1           1.581        1.252e-1        1.403e-2
   1           1.208        4.594e-1        1.403e-2
   1           1.869        3.168e-1        1.403e-2
   1           2.777           4.942        1.403e-2
   1           2.824        1.710e-1        1.403e-2
   1        9.640e-1        6.711e-2        1.403e-2
   1           2.725        1.384e-1        1.403e-2
   1           1.442        8.247e-1        1.403e-2
   1           1.823        4.919e-1        1.403e-2
   1        8.892e-1        1.983e-1        1.403e-2
   1           1.777        1.334e-1        1.403e-2
   1           2.163        1.157e-1        1.403e-2
   1           2.424        1.849e-1        1.403e-2
   1           2.719           1.135        1.403e-2
   1           3.503           2.222        1.403e-2
   1           1.519        9.053e-1        1.403e-2
   1           1.321        1.516e-1        1.403e-2
   1           2.485        2.253e-1        1.403e-2
   1        9.578e-1        4.143e-1        1.403e-2
   1           1.841        2.069e-1        1.403e-2
   1           1.195        1.322e-1        1.403e-2
   1           2.227        2.128e-1        1.403e-2
   1           1.932        6.065e-2        1.403e-2
   1           1.449        2.243e-1        1.403e-2
   1           1.918        4.362e-2        1.403e-2
   1           2.882        1.135e-1        1.403e-2
   1           3.587           3.403        1.403e-2
   1           1.795           3.398        1.403e-2
   1           1.285        5.273e-2        1.403e-2
   1           1.233        2.319e-1        1.403e-2
   1           1.188           2.996        1.403e-2
   1           1.760        4.738e-1        1.403e-2
   1           1.867           2.836        1.403e-2
   1           2.255        2.190e-1        1.403e-2
   1           1.502        4.861e-1        1.403e-2
   1           2.285        5.220e-1        1.403e-2
   1           1.513        6.696e-2        1.403e-2
   1           1.385        4.504e-2        1.403e-2
   1           1.925        4.957e-1        1.403e-2
   1           3.120        4.425e-1        1.403e-2
   1           1.665        6.959e-2        1.403e-2
   1           1.380        2.249e-1        1.403e-2
   1           2.082        1.432e-1        1.403e-2
   1           3.177        1.428e-1        1.403e-2
   1           1.503        2.487e-1        1.403e-2
   1           1.133        3.589e-1        1.403e-2
   1           2.632        9.066e-1        1.403e-2
   1           2.244        5.785e-1        1.403e-2
   1           3.637           1.177        1.403e-2
   1           2.922           1.981        1.403e-2
   1           2.257        2.268e-1        1.403e-2
   1           2.070        1.618e-1        1.403e-2
   1           1.079        9.822e-2        1.403e-2
   1           4.160           3.317        1.403e-2
   1           1.400        4.995e-1        1.403e-2
   1           2.746        3.455e-1        1.403e-2
   1           1.890        6.725e-2        1.403e-2
   1           4.482        1.366e-1        1.473e-2
   1           1.424        1.628e-1        1.403e-2
   1           1.060        8.739e-2        1.403e-2
   1           1.507           1.541        1.403e-2
   1           1.072        1.257e-1        1.403e-2
   1           2.331           2.529        1.403e-2
   1           1.082        6.883e-1        1.403e-2
   1           2.980           2.531        1.403e-2
   1           1.739        6.489e-2        1.403e-2
   1           2.655        2.966e-1        1.403e-2
   1           1.659        5.136e-1        1.403e-2
   1           2.802           4.401        1.403e-2
   1           1.593        3.310e-1        1.403e-2
   1           2.031        3.797e-1        1.403e-2
   1           1.602        9.070e-1        1.403e-2
   1           2.723        5.036e-2        1.403e-2
   1           1.643        6.574e-2        1.403e-2
   1           1.460        1.729e-1        1.403e-2
   1           2.284        3.976e-1        1.403e-2
   1           2.243        5.672e-2        1.403e-2
   1           2.378           2.839        1.403e-2
   1           3.430           4.351        1.403e-2
   1           3.717        1.173e-1        1.403e-2
   1           2.390        7.679e-2        1.403e-2
   1           1.234        7.665e-2        1.403e-2
   1           1.130        1.509e-1        1.403e-2
   1           1.379        1.291e-1        1.403e-2
   1           1.548        1.569e-1        1.403e-2
   1           1.454           1.055        1.403e-2
   1        7.160e-1        5.854e-2        1.403e-2
   1           2.982        8.514e-1        1.403e-2
   1           1.336        7.796e-2        1.403e-2
   1           4.698        2.135e-1        1.403e-2
   1           2.099        3.504e-1        1.403e-2
   1           1.285        3.015e-1        1.403e-2
   1           3.124           1.124        1.403e-2
   1           1.700           1.167        1.403e-2
   1           2.275           4.205        1.403e-2
   1           2.857           7.474        1.403e-2
   1           1.622        6.716e-1        1.403e-2
   1           4.121           4.086        1.403e-2
   1           2.951        5.634e-2        1.403e-2
   1           2.352        3.015e-1        1.403e-2
   1           3.349           1.078        1.403e-2
   1           2.192           2.255        1.403e-2
   1           1.194        5.562e-1        1.403e-2
   1           2.464        3.885e-1        1.403e-2
   1           2.554           1.021        1.403e-2
   1        6.918e-1        4.677e-2        1.403e-2
   1           1.661        1.916e-1        1.403e-2
   1           2.932           1.149        1.403e-2
   1           1.138        2.074e-1        1.403e-2
   1        9.281e-1        1.311e-1        1.403e-2
   1           3.580           8.986        1.403e-2
   1           2.133        5.291e-1        1.403e-2
   1           1.252        1.843e-1        1.403e-2
   1        8.845e-1        1.599e-1        1.403e-2
   1           3.634           1.181        1.403e-2
   1           2.756        2.231e-1        1.403e-2
   1           3.774           1.369        1.403e-2
   1           1.037           1.867        1.403e-2
   1           2.891           1.106        1.403e-2
   1           1.613           1.507        1.403e-2
   1           1.432        4.595e-1        1.403e-2
   1           1.574           1.607        1.403e-2
   1           2.207           3.545        1.403e-2
   1           1.427        1.941e-1        1.403e-2
   1           1.518           1.728        1.403e-2
   1           1.709        2.589e-1        1.403e-2
   1           4.085           1.063        1.403e-2
   1           4.080        3.497e-1        1.403e-2
   1           1.608        3.586e-1        1.403e-2
   1           1.844        4.349e-1        1.403e-2
   1           1.079           1.589        1.403e-2
   1        9.167e-1        4.749e-2        1.403e-2
   1        7.975e-1        2.576e-1        1.403e-2
   1           2.578        1.883e-1        1.403e-2
   1           1.113        1.366e-1        1.403e-2
   1           3.183        4.548e-1        1.403e-2
   1           1.516           1.055        1.403e-2
   1           4.139        5.850e-1        1.403e-2
   1           2.627           6.874        1.403e-2
