scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           5410          21328           4973       2.861e-4       2.534e-1       2.313e-7
   1           5423          17594           5601       3.408e-4       2.414e-1       2.271e-7
   1           4173          17096            537       5.187e-4       2.825e-1       5.533e-8
   1           4502          13587           8457       4.321e-4       2.927e-1       5.277e-6
   1           3607          13083          14526       6.953e-4       2.961e-1       5.830e-6
   1           4315          12094          10546       8.288e-4       1.358e-1       9.758e-6
   1           1871          15289           8050       8.542e-4       2.948e-1       4.277e-6
   1           2852           4246          12823       6.922e-4       2.696e-1       1.282e-7
   1           3846           3738           5678       2.133e-4       3.000e-1       7.644e-8
   1           3690          15042          14777       1.927e-4       2.699e-1       2.045e-7
   1           3907          12436           5858       4.467e-4       2.017e-1       3.558e-6
   1           4818          16450           7097       3.748e-4       2.937e-1       4.753e-6
   1           6178          15538           2800       1.705e-4       2.541e-1       1.300e-6
   1           4792          19037           9261       2.899e-4       2.504e-1       6.536e-6
   1           3139          12287           4244       6.355e-4       2.866e-1       1.888e-6
   1           2399          13784           6788       5.464e-4       2.987e-1       7.090e-6
   1           5303           6347           9766       2.306e-4       2.591e-1       2.867e-8
   1           4668           9631           8706       5.073e-4       2.426e-1       3.968e-6
   1           3246          17027          14090       4.923e-4       3.000e-1       4.732e-7
   1           3217          12004           2000       4.998e-4       2.586e-1       1.000e-5
   1           3769          14705          14204       2.636e-4       2.275e-1       7.535e-8
   1           3731          19819            644       5.503e-4       2.907e-1       2.715e-7
   1           5880           6680          11998       1.796e-4       2.122e-1       2.570e-6
   1           4875           6175           7676       3.830e-4       3.000e-1       1.632e-7
   1           3802           5848          10985       8.026e-4       1.235e-1       7.827e-6
   1           4175          11436           3978       1.692e-4       2.865e-1       3.100e-8
   1           5438          12842           2557       8.300e-4       2.550e-1       7.202e-6
   1           4553          13362           5230       4.283e-4       2.956e-1       5.709e-6
   1           3307          18913          19072       3.165e-4       2.564e-1       4.335e-6
   1           4012          16088          10499       8.856e-4       2.878e-1       2.665e-7
   1           3177          11066           2301       3.163e-4       2.813e-1       1.013e-7
   1           4151          15530           7959       4.901e-4       2.999e-1       3.997e-6
   1           4009           6314           7033       2.108e-4       2.645e-1       8.466e-7
   1           6033          11490           3624       1.877e-4       2.351e-1       4.302e-8
   1           4061           7523           4663       3.295e-4       2.586e-1       2.669e-6
