State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
8606	0.076923	-5308.572112	3.927213	0.920558	4.29284	0.307956	-3.750224	0.305458	4.634947	0.900173
8607	0.103448	-5251.833624	4.467839	0.939853	4.833466	0.328061	-4.317164	0.34648	5.201887	0.900173
8608	0.05102	-5261.710112	1.061556	0.824467	1.427183	0.328061	-0.910881	0.345352	1.795604	0.881702
8609	0.022472	-5001.175806	2.815867	0.824467	3.181494	0.291039	-2.595314	0.345352	3.549915	0.881702
8610	0.054945	-5008.110241	4.178986	0.832845	4.528178	0.225435	-3.941998	0.347765	4.896599	0.881702
8611	0.085714	-4913.007365	4.416083	0.832845	4.765275	0.244628	-4.179095	0.332443	5.133696	0.928184
8612	0.057471	-4951.826463	2.850745	0.832845	3.199936	0.262511	-2.613756	0.332443	3.568357	0.895254
8613	0.070707	-5197.272808	3.156068	0.832845	3.50526	0.211738	-2.91908	0.311007	3.873681	0.895254
8614	0.072917	-5226.515566	2.595794	0.832845	2.944985	0.262323	-2.358805	0.251462	3.313406	0.887148
8615	0.068182	-5006.873464	1.474734	0.828181	1.823926	0.238111	-1.237746	0.249461	2.192347	0.877597
8616	0.058252	-5263.888455	4.24202	0.828181	4.599624	0.277847	-4.005032	0.272606	4.959632	0.877597
8617	0.075269	-5426.723658	2.202917	0.82563	2.560521	0.327655	-1.965928	0.272606	2.939661	0.877597
8618	0.054945	-6014.685091	3.708483	0.74908	4.183002	0.291859	-3.588409	0.272606	4.562142	0.891042
8619	0.060606	-5493.1808	3.186231	0.739074	3.66075	0.284995	-3.071479	0.323105	4.045212	0.891042
8620	0.045455	-5339.280333	2.391162	0.582681	2.865681	0.305516	-2.280552	0.246831	3.254285	0.846705
8621	0.030928	-5214.228484	3.733551	0.604838	4.20807	0.277793	-3.645293	0.353088	4.629075	0.846705
8622	0.064815	-5354.086867	3.732665	0.578209	4.266991	0.301793	-3.63068	0.302354	4.614462	0.851193
8623	0.070588	-5212.587794	3.828951	0.581511	4.322133	0.336347	-3.73906	0.293597	4.722842	0.851193
8624	0.08642	-5155.467088	3.127092	0.581511	3.620274	0.318159	-3.037201	0.309287	4.020983	0.851193
8625	0.028846	-5583.79211	4.676379	0.703587	5.255451	0.318159	-4.609163	0.307452	5.559132	0.853107
8626	0.102273	-5476.122922	3.033674	0.606433	3.612745	0.348553	-2.966458	0.277312	3.916426	0.812487
8627	0.028037	-5417.178835	3.607534	0.606433	4.186606	0.297335	-3.540318	0.277312	4.490287	0.812487
8628	0.067961	-4986.456732	4.797348	0.606433	5.37642	0.318379	-4.730132	0.313712	5.680101	0.812487
8629	0.073171	-5312.867838	4.294117	0.607773	4.913957	0.268135	-4.2269	0.313712	5.176869	0.830959
8630	0.090909	-5537.234043	3.387971	0.569563	4.007812	0.252399	-3.320755	0.233418	4.270724	0.830959
8631	0.07563	-5054.544799	1.807254	0.563019	2.391858	0.191348	-1.704801	0.225299	2.65477	0.840797
8632	0.078652	-5040.960752	2.441014	0.591746	3.025618	0.189212	-2.338561	0.225299	3.28853	0.825899
8633	0.057143	-4926.928186	1.967343	0.591746	2.551948	0.223011	-1.864891	0.22494	2.81486	0.82083
8634	0.043478	-5103.452917	3.062682	0.599436	3.647286	0.204188	-2.96023	0.211537	3.910199	0.82083
8635	0.108434	-5218.655709	3.148941	0.615453	3.638547	0.262491	-3.046488	0.211537	3.996457	0.82301
8636	0.056075	-4837.207595	3.372421	0.615453	3.862028	0.251363	-3.269969	0.239552	4.219938	0.806056
8637	0.11215	-5170.344193	3.261182	0.735664	3.750789	0.264867	-3.15873	0.243844	4.108699	0.847714
8638	0.018692	-5493.346133	2.908322	0.77029	3.33113	0.310264	-2.80587	0.243844	3.755839	0.847714
8639	0.044643	-5594.927776	1.616322	0.77029	2.03913	0.403192	-1.513869	0.239897	2.463838	0.847714
8640	0.089888	-5331.349715	2.883259	0.779402	3.253744	0.41274	-2.728484	0.236116	3.755296	0.84775
8641	0.066667	-5290.027462	4.053729	0.775089	4.424214	0.416033	-3.898954	0.236116	4.925766	0.84775
8642	0.049505	-5651.567314	3.392412	0.775089	3.762898	0.486778	-3.237637	0.189083	4.264449	0.84775
8643	0.027523	-5505.942265	2.754549	0.775089	3.125034	0.490379	-2.599774	0.226216	3.626586	0.84775
8644	0.036036	-5691.813007	3.20582	0.82775	3.576305	0.490379	-3.051045	0.219152	4.077857	0.853363
8645	0.036036	-5875.335921	3.612052	0.82775	3.982537	0.463884	-3.457277	0.209738	4.484089	0.853363
8646	0.064935	-4589.264781	2.378475	0.82775	2.676298	0.41627	-2.124495	0.202039	3.250512	0.888887
8647	0.039604	-4936.885761	3.619587	0.830322	3.856938	0.416207	-3.3314	0.177866	4.457418	0.919021
8648	0.068182	-4578.180008	3.64593	0.780215	3.871185	0.42873	-3.345648	0.193049	4.493088	0.891873
8649	0.033058	-4529.821334	3.818811	0.780215	4.040949	0.48605	-3.520099	0.138201	4.667539	0.933709
8650	0.091743	-4593.913213	3.963135	0.7784	4.209262	0.43589	-3.664423	0.147589	4.811864	0.933709
8651	0.044643	-4423.301091	2.649183	0.781005	2.89531	0.43589	-2.350471	0.163157	3.497911	0.859726
8652	0.125	-4487.76103	4.20253	0.939244	4.448657	0.473563	-3.868313	0.115418	5.015753	0.853657
8653	0.073394	-4574.119423	3.234893	0.939244	3.481019	0.473563	-2.91755	0.113299	4.06499	0.913434
8654	0.07563	-4476.355348	4.065891	0.902377	4.312018	0.485687	-3.748548	0.173482	4.895989	0.913434
8655	0.084906	-4411.200867	3.292787	0.902377	3.538913	0.485687	-2.975444	0.169248	4.122884	0.913017
8656	0.048193	-4308.611161	4.31877	0.92557	4.601659	0.485687	-4.001427	0.213455	5.148867	0.913017
8657	0.072165	-4162.757107	3.733386	0.762052	4.006225	0.466469	-3.405993	0.187641	4.548944	0.913017
8658	0.125	-4602.078404	3.686465	0.778797	3.959304	0.51832	-3.359072	0.108685	4.501206	0.913017
8659	0.066038	-4455.707913	4.223124	0.905037	4.495963	0.51832	-3.895731	0.16602	5.037866	0.913017
8660	0.097087	-4416.267677	3.795414	0.905037	4.077736	0.495368	-3.46802	0.124486	4.610155	0.881241
8661	0.087912	-4620.33796	3.769602	0.89568	4.051924	0.523043	-3.442209	0.08262	4.584343	0.881241
8662	0.130435	-4696.493419	1.992992	1.005053	2.262343	0.505078	-1.652628	0.033851	2.784967	0.879555
8663	0.151786	-4307.272293	1.777048	1.005053	1.949763	0.559	-1.340048	0.021915	2.569023	0.879555
8664	0.159292	-4268.690516	2.078207	1.005053	2.250922	0.588641	-1.641207	0.023341	2.870182	0.879555
8665	0.135922	-4277.83273	3.093424	1.004651	3.266139	0.563449	-2.651058	0.012452	3.880033	0.879555
8666	0.210526	-4576.473829	1.753592	0.992218	1.926308	0.605478	-1.375036	0.029647	2.540201	0.879555
8667	0.175	-4576.9159	2.578985	1.045452	2.751701	0.554651	-2.200429	0.137454	3.365594	0.879555
8668	0.061856	-4550.22651	3.959738	1.020636	4.132454	0.512945	-3.581182	0.172661	4.746347	0.871551
8669	0.05814	-4833.384607	2.964986	1.02294	3.19988	0.603831	-2.648608	0.170827	3.751595	0.871551
8670	0.09434	-5334.944272	3.20136	1.159205	3.489057	0.632739	-2.937785	0.092097	4.040772	0.855766
8671	0.0625	-5363.72438	3.733759	1.060819	4.021455	0.58644	-3.470183	0.085727	4.57317	0.885877
8672	0.083333	-4978.780538	2.307154	1.060819	2.71693	0.519069	-2.043579	0.156303	3.146565	0.835849
8673	0.071429	-4795.44914	3.110351	1.106333	3.520128	0.519069	-2.846776	0.145844	3.949763	0.838254
8674	0.076087	-5186.824969	2.571111	1.045231	3.047188	0.577898	-2.373836	0.133663	3.410522	0.838254
8675	0.106195	-4741.562858	2.824112	1.159951	3.247372	0.530782	-2.626837	0.113985	3.663523	0.894401
8676	0.092784	-4929.066094	4.31293	1.159951	4.748035	0.530782	-4.115655	0.133787	5.169775	0.819237
8677	0.084112	-5364.646912	3.233497	1.191495	3.668602	0.530782	-3.036222	0.098354	4.079611	0.968385
8678	0.080808	-5263.259989	3.768502	1.258823	4.172313	0.553271	-3.538158	0.175471	4.581546	0.952645
8679	0.059406	-5284.811811	4.082634	1.258823	4.486445	0.511696	-3.852289	0.11419	4.895678	0.952645
8680	0.05814	-5240.701232	5.10139	1.258823	5.505201	0.500803	-4.884773	0.148315	5.928162	0.952645
8681	0.160714	-5298.767216	3.677128	1.319556	4.106665	0.502958	-3.460511	0.084415	4.5039	0.920082
8682	0.11236	-4978.05172	2.850933	1.304593	3.28047	0.515418	-2.634316	0.087513	3.683504	0.920082
8683	0.108696	-5150.429219	3.463921	1.325061	3.893754	0.567828	-3.2476	0.180189	4.296788	0.929709
