State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
2339	0.309278	-3606.680104	2.884367	0.937472	4.348036	0.023373	-2.930916	0.095223	4.472061	0.585247
2340	0.326087	-3529.145949	2.268275	0.826482	3.727947	0.021232	-2.26235	0.089812	3.791405	0.51408
2341	0.266667	-3633.839504	3.305782	0.784832	4.663537	0.011464	-3.299856	0.086108	4.75573	0.332477
2342	0.32381	-3766.617964	1.925066	0.784832	3.301327	0.022743	-1.937646	0.066698	3.375015	0.49617
2343	0.413462	-3670.103665	1.851841	0.697121	3.251049	0.05897	-1.803058	0.120775	3.301789	0.436014
2344	0.247312	-3845.954394	3.129044	0.697969	4.595243	0.136438	-3.148191	0.128076	4.645983	0.412751
2345	0.277778	-3954.439075	1.230458	0.82935	2.624606	0.146424	-1.249605	0.143047	2.747398	0.488173
2346	0.265306	-3989.972783	2.906058	0.82935	4.284984	0.032148	-2.909983	0.141232	4.422997	0.530788
2347	0.284404	-3782.348052	2.627193	0.79412	3.922946	0.035213	-2.62948	0.174741	4.142494	0.58148
2348	0.178947	-3628.910464	3.233318	0.79412	4.680456	0.119684	-3.235605	0.151778	4.748618	0.640696
2349	0.214286	-3722.349546	3.076231	0.79412	4.558674	0.027003	-3.078517	0.165212	4.591531	0.398974
2350	0.204082	-4066.598381	4.657651	0.79412	6.140093	0.090652	-4.659937	0.183458	6.172951	0.52518
2351	0.244681	-3723.194433	2.20526	0.661948	3.694785	0.147331	-2.179147	0.088789	3.69216	0.653494
2352	0.257426	-3631.402367	2.223487	0.687944	3.735034	0.099391	-2.190408	0.098949	3.703422	0.496369
2353	0.323232	-3608.869768	3.332376	0.716476	4.749076	0.087982	-3.321177	0.211702	4.812311	0.457993
2354	0.270833	-3639.601793	4.335614	0.787466	5.975801	0.057899	-4.324416	0.211234	5.815549	0.321171
2355	0.282609	-4298.361241	2.95404	0.799946	4.586577	0.018144	-2.974329	0.321006	4.426324	0.291038
2356	0.351064	-4284.194482	2.460369	0.839666	4.192744	0.009927	-2.458101	0.313095	3.810259	0.157755
2357	0.284553	-4273.728656	1.56807	0.740147	3.300444	0.132659	-1.536489	0.348281	2.917959	0.128922
2358	0.427419	-3860.379618	4.949936	0.667762	6.68231	0.023212	-4.918355	0.265383	6.299826	0.052363
2359	0.287356	-3803.415733	3.521065	0.667762	5.021358	0.136996	-3.489484	0.258781	4.870954	0.149439
