scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           5626          18811           8137       9.085e-4       3.000e-1       2.975e-6
   1           3409          11594          13339       7.824e-4       2.757e-1       2.629e-6
   1           5708          10235           9338       5.484e-4       2.958e-1       1.304e-7
   1           4535           6012          17985       6.648e-4       3.000e-1       1.000e-5
   1           5997           6559           9764       5.250e-4       2.974e-1       6.732e-6
   1           5743           8223           9194       5.312e-4       2.400e-1       9.787e-7
   1           4636          10462          10133       5.745e-4       3.000e-1       8.351e-6
   1           3078          18347           7301       8.864e-4       3.000e-1       5.655e-6
   1           4000           7312           2914       8.460e-4       3.000e-1       9.493e-7
   1           4214          18478          11194       6.796e-4       3.000e-1       1.000e-5
   1           4141           5131           6230       8.004e-4       3.000e-1       9.437e-6
   1           4475          12978           7701       7.653e-4       3.000e-1       1.230e-6
   1           4710          14020          11975       9.759e-4       3.000e-1       1.136e-6
   1           4982          13747          14199       7.456e-4       2.944e-1       6.632e-6
   1           6304          18380           6302       8.264e-4       3.000e-1       9.569e-6
   1           4114           6295           6694       7.874e-4       2.903e-1       1.000e-5
   1           4151          10760          17283       7.578e-4       2.409e-1       1.000e-5
   1           3972           9426          11489       6.762e-4       2.965e-1       9.675e-6
   1           4784          14408           7624       9.528e-4       2.821e-1       6.667e-6
   1           3400          19733           6437       8.992e-4       3.000e-1       9.746e-6
   1           3535          13949           9290       6.815e-4       2.962e-1       8.450e-6
   1           5162          14468          10061       5.492e-4       2.974e-1       4.411e-7
   1           4758          10789           9889       9.602e-4       3.000e-1       1.770e-7
   1           5239          14954           4768       7.925e-4       2.980e-1       8.614e-6
   1           4570          16789           7360       9.404e-4       2.901e-1       2.324e-6
   1           4516          13875          11214       6.873e-4       3.000e-1       1.000e-5
   1           4311          15760           9051       9.951e-4       2.704e-1       2.622e-7
   1           4171          14690           3147       6.874e-4       3.000e-1       3.506e-6
   1           3634          10884           7430       9.363e-4       2.857e-1       1.861e-7
   1           5070          13915           5807       8.292e-4       2.940e-1       7.183e-6
   1           4967           9911           4504       7.293e-4       2.944e-1       3.881e-7
   1           5693          16893          16591       6.558e-4       3.000e-1       7.175e-7
   1           4765           7615           9600       4.382e-4       3.000e-1       2.649e-7
   1           3810          12911          21295       9.522e-4       2.663e-1       1.000e-5
   1           2700           9488          11482       9.092e-4       2.948e-1       8.689e-7
   1           4699           8056          12310       4.920e-4       2.978e-1       9.372e-6
   1           3785          12352           7852       8.201e-4       3.000e-1       6.305e-6
   1           6623          15518          10894       8.247e-4       3.000e-1       9.300e-6
   1           4002          10024           7446       5.354e-4       2.705e-1       9.350e-6
   1           4465          20952            493       8.410e-4       3.000e-1       4.910e-6
   1           5180          11851           4897       7.712e-4       3.000e-1       6.897e-6
   1           3960          11578           7804       5.348e-4       3.000e-1       2.612e-7
   1           5286          16615           7521       7.083e-4       3.000e-1       2.764e-6
   1           5161          16785          10481       6.588e-4       2.907e-1       9.707e-6
   1           3947          16669            208       6.162e-4       3.000e-1       3.051e-7
   1           5394          14880          10196       5.683e-4       2.755e-1       8.309e-6
   1           5085          15324          10656       8.664e-4       3.000e-1       8.097e-6
   1           6223           3249           7750       9.115e-4       1.856e-1       7.700e-6
   1           4544          14621            542       8.734e-4       3.000e-1       3.795e-6
   1           5922           2876          10421       3.680e-4       2.907e-1       6.680e-6
   1           3581           7479           5902       6.928e-4       3.000e-1       3.078e-6
   1           5169          13299          11883       7.087e-4       3.000e-1       3.545e-6
   1           3095          15793          14381       8.012e-4       2.756e-1       5.618e-7
   1           3773          16660           7647       7.350e-4       3.000e-1       1.078e-6
   1           3836          11202           8499       7.165e-4       2.997e-1       9.941e-6
   1           4228           4549           6888       8.613e-4       2.964e-1       6.838e-8
   1           5013           9140           6640       5.864e-4       3.000e-1       5.478e-6
   1           4906           7882          10436       6.867e-4       3.000e-1       7.297e-6
   1           5813          17305           6044       6.377e-4       3.000e-1       7.583e-7
