scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4031          12841           2479       6.983e-4       2.803e-1       1.643e-8
   1           2864          13058           6688       6.738e-4       2.997e-1       1.902e-6
   1           3801           7757           4537       7.542e-4       2.976e-1       5.021e-8
   1           4703          11953           9590       4.954e-4       2.739e-1       6.259e-7
   1           2515           7808            875       7.869e-4       2.431e-1       8.003e-6
   1           3143          16640           5032       6.609e-4       2.964e-1       2.281e-7
   1           5362           9916          22199       6.139e-4       2.942e-1       2.631e-6
   1           5192           2586           8809       6.086e-4       2.858e-1       3.332e-7
   1           4036           7634           9147       4.304e-4       3.000e-1       1.560e-6
   1           5028          15151           8100       5.471e-4       2.878e-1       3.117e-6
   1           4096          11869           4574       4.354e-4       3.000e-1       1.043e-6
   1           5071           9526          10780       6.524e-4       2.912e-1       5.359e-8
   1           4380          15551           9065       7.722e-4       2.920e-1       3.481e-7
   1           3498          17419           3345       4.353e-4       3.000e-1       4.998e-6
   1           3506          14696           5080       4.729e-4       3.000e-1       6.846e-8
   1           4260          12819           4836       4.363e-4       2.698e-1       5.848e-7
   1           3202          10964           3079       2.887e-4       2.864e-1       1.414e-6
   1           6369          13230           7487       4.171e-4       3.000e-1       7.918e-6
   1           3589          13331           8708       6.190e-4       2.935e-1       2.501e-6
   1           4559           5494           5467       7.124e-4       2.655e-1       1.699e-7
   1           2844           8955           1065       8.150e-4       2.827e-1       7.234e-6
   1           2830           2124          11388       9.151e-4       2.905e-1       3.167e-7
   1           4499          11652           4165       5.000e-4       2.735e-1       3.317e-6
   1           4913          11135          11586       3.696e-4       2.952e-1       1.197e-6
   1           3326          10570           4057       8.536e-4       2.727e-1       6.125e-8
   1           4986          16298          11259       3.588e-4       2.699e-1       1.133e-7
   1           3544          11133          11553       6.649e-4       2.995e-1       9.627e-7
   1           2510          11243           6487       8.330e-4       2.928e-1       9.756e-7
   1           6000          14435          13941       4.081e-4       3.000e-1       7.592e-8
   1           2638          11139            543       8.102e-4       2.685e-1       4.487e-6
   1           3294          14597           8598       9.204e-4       2.837e-1       9.156e-8
