scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           2.125        6.597e-2           3.454
   1           1.230           1.039          13.797
   1           1.322           3.810           3.952
   1           2.498          10.190           7.222
   1        8.443e-1           1.612           8.277
   1        7.751e-1        7.705e-1          10.978
   1        7.330e-1           6.955          10.714
   1           1.954           6.411          13.966
   1        9.415e-1          10.208           9.813
   1        9.352e-1           4.192           8.331
   1           1.403           4.093          17.082
   1           1.371           3.253          10.021
   1           1.001           9.261           9.996
   1           1.811           7.137          18.424
   1        8.316e-1           3.984          10.145
   1           1.019           9.287          11.129
   1           1.881           4.225           7.941
   1        7.997e-1           3.202           8.290
   1           2.356           6.781          15.716
   1           1.063           8.206           8.326
   1        9.485e-1           3.828           1.007
   1           1.161          11.224          18.228
   1           1.095           8.866          24.893
   1        8.155e-1           5.188          15.487
   1           1.636           3.849          24.971
   1        7.874e-1           7.254          18.007
   1           2.262          12.190          17.439
   1           1.572           5.602           4.859
   1           1.834           9.506          11.651
   1           1.120           4.425           1.816
   1        8.578e-1           7.580          18.137
   1        9.670e-1           3.093           5.875
   1           1.394           9.667          15.927
   1        9.619e-1           8.629          15.868
   1           2.016           9.817          20.179
   1        7.295e-1           6.937           7.699
   1        6.514e-1           4.530          10.478
   1           1.328           2.294          13.989
   1           1.026           3.452          19.018
   1           4.251           5.827          16.165
   1        9.123e-1           6.076          18.261
   1           1.776           7.088          18.006
   1           1.635           8.031          22.589
   1        9.857e-1           5.749          11.521
   1           1.296           9.741           6.825
   1           1.218          11.035           6.967
   1           3.392           2.555          20.196
   1           2.367          10.096           6.332
   1           1.136           5.077           9.287
   1        9.537e-1           3.281           3.909
   1        8.615e-1           4.575           2.324
   1        9.192e-1           5.921           6.921
   1           2.487           6.943           8.795
   1        9.888e-1          13.207          13.654
   1           1.066           2.370           3.523
   1        9.373e-1           1.834          14.152
   1        8.158e-1           4.886           4.673
   1           1.335           6.199          11.019
   1        8.958e-1           8.732          10.540
   1           2.086           7.403          19.596
   1           1.460           5.419          16.065
   1        7.303e-1           3.393          10.641
   1        8.841e-1           3.711           8.854
   1           1.077           4.622          18.831
   1        9.369e-1           4.896          20.335
   1           1.193           6.187          14.988
   1           1.108           4.982           9.892
   1        9.604e-1           3.913           5.930
   1           1.865           4.528           4.996
   1           1.007           7.206          14.671
   1           1.967           4.980          17.018
   1           1.335           1.592          11.530
   1           1.322           2.762          15.604
   1           2.354           8.182           5.111
   1           1.270           4.823          15.293
   1           1.243           3.189           2.371
   1        7.775e-1           1.687          15.792
   1        7.970e-1           4.954          10.173
   1           1.028           7.926          10.946
   1        9.652e-1           2.218           4.366
   1        9.801e-1           2.302           9.815
   1           1.643           7.315           9.694
   1           1.514           6.824          10.429
   1           1.118           5.874          19.463
   1           1.066           2.513          12.255
   1        9.770e-1           4.333          11.725
   1        6.922e-1           3.365           4.504
   1        8.009e-1           1.145           9.605
   1        9.902e-1           8.761          21.509
   1           1.426          10.557          19.672
   1           1.151           5.779           4.785
   1        7.017e-1           3.308           9.980
   1        6.737e-1           6.855           5.392
   1           1.034           5.344          12.225
   1           1.290           6.774          13.267
   1           1.871           7.731           4.043
   1           1.303           3.452          15.155
   1           1.179           4.093           6.166
   1           1.402          11.993          15.660
   1           1.091           4.290          12.432
   1        6.699e-1          10.809        4.974e-1
   1           1.668           3.279          11.131
   1           1.272           7.650          12.709
   1           1.244           3.336        8.937e-1
   1        8.228e-1           5.928          15.394
   1           2.034          15.876          14.485
   1        8.574e-1           4.509          15.292
   1           2.675           7.679          19.931
   1           1.368           9.805           7.534
   1           1.076           8.389          14.804
   1           1.348           5.889           5.643
   1        9.220e-1           4.143          10.639
   1        8.302e-1           8.701          16.428
   1        9.961e-1           1.836          14.217
   1        9.963e-1           3.529          11.941
   1           1.761           5.421          14.725
   1           1.584           5.977           8.221
   1        6.370e-1           3.159           3.435
   1           1.641           4.415           8.967
   1           1.246           5.343          14.460
   1           1.796          10.743          11.501
   1           1.491           5.128          14.638
   1           1.818           6.568          13.253
   1           1.326          15.801          13.070
   1        8.399e-1           5.218          11.611
   1           1.944          10.263          21.136
   1           1.567           6.217           1.428
   1        7.677e-1           2.404           7.888
   1        6.290e-1           1.984           7.316
   1           2.212           6.422          19.602
   1           1.250           6.144          14.583
   1           1.343           5.010           2.888
   1           1.247           4.868          21.271
   1        9.330e-1           3.943          14.187
   1        7.013e-1           2.647          14.006
   1           1.725           6.723          14.332
   1        7.035e-1          10.221          13.388
   1           1.042           3.473           4.182
   1           1.050           8.583           1.559
   1        8.276e-1           1.946           6.256
   1        7.302e-1          11.378           9.926
   1        8.804e-1           6.677          12.167
   1           1.592           8.233          18.851
   1           1.539          12.995          16.697
   1           1.887           6.314          20.412
   1        7.050e-1           2.335           8.647
   1           1.297        9.431e-1           4.964
   1           1.298           9.840          15.774
   1           1.295           9.220          17.789
   1        9.275e-1          11.612          18.214
   1           1.455           7.548          15.195
   1        8.277e-1           1.269           7.123
   1        9.097e-1           4.736          16.643
   1        9.885e-1           3.191          14.305
   1        8.494e-1           9.501           5.994
   1        7.644e-1           4.095           1.957
   1        7.577e-1          15.547          16.595
   1        8.967e-1           3.508          17.269
   1        8.849e-1           4.177           4.432
