scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          11.225           1.317
   1           1.000          12.228        5.611e-1
   1           1.000          12.093        3.715e-1
   1           1.000          12.228        1.006e-1
   1           1.000          12.228        5.371e-1
   1           1.000          11.923        7.181e-1
   1           1.000          12.228        2.790e-1
   1           1.000          12.228        2.293e-1
   1           1.000          12.228        6.105e-1
   1           1.000          12.228        1.407e-1
   1           1.000          11.759        1.507e-1
   1           1.000          12.228        9.350e-1
   1           1.000          12.228        1.315e-1
   1           1.000          11.710        8.920e-1
   1           1.000          10.676        4.191e-1
   1           1.000          12.228        2.460e-1
   1           1.000          12.228        8.177e-1
   1           1.000          12.228        2.306e-1
   1           1.000          11.218        3.067e-1
   1           1.000          12.228        5.218e-3
   1           1.000          12.228           1.125
   1           1.000          12.228        7.054e-1
   1           1.000          12.216        5.637e-1
   1           1.000          12.228        3.895e-1
   1           1.000          12.228        7.525e-1
   1           1.000          12.228           1.024
   1           1.000          11.967        4.389e-1
   1           1.000          12.228        2.273e-1
   1           1.000          12.000        7.584e-1
   1           1.000          11.950        2.171e-1
   1           1.000          12.103        7.256e-1
   1           1.000          12.228        9.838e-1
   1           1.000           7.363        4.175e-1
   1           1.000          11.644        2.987e-1
   1           1.000          11.155        1.732e-1
   1           1.000          12.156        1.017e-1
   1           1.000          12.228           1.706
   1           1.000          12.228           1.061
   1           1.000          11.623        6.745e-1
   1           1.000          12.228        2.807e-2
   1           1.000          12.133        2.170e-1
   1           1.000           9.321        6.496e-1
   1           1.000          12.228        2.010e-1
   1           1.000           9.927        5.501e-1
   1           1.000          10.448        5.218e-1
   1           1.000          12.228        1.183e-1
   1           1.000          12.111        7.548e-1
   1           1.000          12.090        8.823e-1
   1           1.000          12.228        5.287e-1
   1           1.000          12.055        1.779e-1
   1           1.000          10.814           1.215
   1           1.000          12.228        6.634e-1
   1           1.000          11.591        3.472e-1
   1           1.000          11.556        5.603e-1
   1           1.000          12.228        2.837e-1
   1           1.000          12.228           1.310
   1           1.000          12.228        2.964e-1
   1           1.000           8.407        3.542e-1
   1           1.000          12.138        2.214e-1
   1           1.000          12.176        2.888e-2
   1           1.000          12.091        5.622e-1
   1           1.000          12.228        3.683e-1
   1           1.000          12.228        9.402e-1
   1           1.000          12.075        2.567e-1
   1           1.000          12.228        9.820e-1
   1           1.000          12.228        5.476e-1
   1           1.000          11.018        4.962e-2
   1           1.000          12.228        6.693e-2
   1           1.000          12.228        5.292e-1
   1           1.000          11.924        5.749e-1
   1           1.000          12.228        8.749e-2
   1           1.000          12.041        2.902e-1
   1           1.000          12.211        6.987e-1
   1           1.000          12.228        8.826e-2
   1           1.000          12.228        1.777e-1
   1           1.000          11.885        9.421e-1
   1           1.000          12.087        2.587e-1
   1           1.000          10.388        2.646e-1
   1           1.000          12.102        1.124e-1
   1           1.000          11.999        6.094e-1
   1           1.000          10.958        2.150e-1
   1           1.000          12.228        9.105e-1
   1           1.000          12.228        5.615e-1
   1           1.000          12.228        3.519e-1
   1           1.000          12.030        1.393e-1
   1           1.000          12.228        3.389e-1
   1           1.000          12.063        1.506e-1
   1           1.000          12.228        9.301e-1
   1           1.000          12.156        7.555e-1
   1           1.000          12.228        2.438e-1
   1           1.000          12.228        2.816e-1
   1           1.000          11.926           1.090
   1           1.000          12.228        2.454e-1
   1           1.000          12.204        6.152e-1
   1           1.000          12.228        3.213e-1
   1           1.000          12.228        3.761e-1
   1           1.000          10.999        2.316e-1
   1           1.000          12.228        2.441e-1
   1           1.000           9.955        7.693e-1
   1           1.000          12.193        7.843e-1
   1           1.000          10.954        7.019e-1
   1           1.000           9.939        2.245e-1
   1           1.000          12.228        7.097e-1
   1           1.000          11.818        6.232e-1
   1           1.000          11.084        8.956e-1
   1           1.000          12.228        5.477e-1
   1           1.000          12.228        9.451e-2
   1           1.000          12.228        3.209e-1
   1           1.000          12.034        2.395e-1
   1           1.000          12.228        4.300e-1
   1           1.000          11.468        5.955e-1
   1           1.000          11.607        3.850e-1
   1           1.000          12.228        8.583e-1
