scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           3.961           2.560          28.079
   1           4.760           1.894          28.079
   1           2.946           6.039          28.079
   1           3.681           5.621          28.079
   1           2.409           2.370          28.079
   1           3.562           6.504          28.079
   1           2.853           7.358          28.079
   1           2.961           5.859          27.683
   1           2.293           4.148          28.079
   1           3.151          10.400          28.079
   1           2.010           4.511          28.079
   1           2.522          12.924          28.079
   1           3.582           9.596          28.079
   1           3.523           3.729          28.079
   1           3.019           3.936          28.079
   1           2.300           5.131          27.375
   1           2.732           9.094          26.967
   1           2.765           4.803          28.079
   1           3.035           4.845          28.079
   1           2.522           3.218          28.079
   1           2.046        4.011e-1          28.079
   1           2.777           2.652          28.079
   1           2.163           3.863          26.771
   1           2.653           3.365          28.079
   1           4.603        9.158e-1          24.294
   1           2.264          10.348          28.079
   1           2.116        7.872e-1          28.079
   1           4.888           6.242          28.079
   1           2.490           7.256          28.079
   1           2.718           4.909          27.790
   1           1.778           2.710          28.079
   1           4.814           1.113           3.849
   1           2.332           4.774          28.079
   1           1.712           3.133          26.032
   1           1.881           2.966          28.016
   1           2.397           3.369          28.079
   1           3.156           6.234          28.079
   1           3.436           2.036          28.079
   1           4.903           4.841          28.079
   1           1.858           2.201          21.915
   1           3.413           6.481          28.079
   1           3.036           8.523          27.372
   1           3.903          15.035          27.244
   1           2.001           4.527          28.079
   1           3.176           6.107          28.079
   1           3.050           2.541          20.844
   1           3.156           4.044          28.079
   1           4.292           5.981          27.960
   1           3.778          11.661          28.079
   1           3.097           7.977          28.079
   1           2.101           1.360          27.297
   1           3.924           4.221          28.079
   1           2.100           3.136          27.882
   1           3.222          10.700          28.079
   1           3.107           4.329          28.079
   1           1.250           2.831          26.580
   1           2.371           6.421          27.425
   1           2.098           1.245          28.079
   1           3.306          10.361          27.829
   1           2.227           1.433          28.079
   1           3.557           1.693          27.560
   1           2.502           4.519          28.079
   1           2.079           4.695          28.079
   1           4.167          13.416          27.074
   1           2.352           2.293          28.079
   1           2.292           2.693          28.079
   1           2.229           5.931          26.168
   1           2.788           7.272          28.079
   1           1.302           3.362          25.819
   1           3.914           4.454          11.677
   1           3.621           2.029          28.079
   1           2.770           4.154          27.958
   1           3.422           9.058          28.079
   1           2.149           3.682          28.079
   1           1.933        7.078e-1          28.037
   1           1.609           6.210          27.784
   1           1.788           1.267          28.079
   1           1.505           3.237          28.079
   1           2.991           4.508          28.079
   1           2.358           6.917          24.738
   1           2.469           9.218          28.079
   1           4.163           6.730          28.079
   1           3.199           3.824          27.354
   1           2.544           5.061          27.314
   1           3.012           2.816          28.079
   1           1.897           6.092          25.527
   1           3.611           1.942          27.862
   1           2.354           5.378          28.079
   1           2.536           9.817          27.375
   1           2.301           5.784          28.079
   1           4.229        7.764e-1          28.079
   1           3.164           7.051          28.079
   1           2.581           8.006          28.079
   1           3.013           6.522          28.079
   1           2.841           4.817          28.079
   1           3.642           3.906           3.242
   1           1.457           3.385          28.079
   1           3.028           3.414          28.079
   1           1.352           2.026          27.094
   1           2.005           4.850          27.928
   1           2.528           6.452          28.079
   1           3.364          10.625          28.079
   1           1.806           1.956          28.079
   1           3.392           8.939          28.079
   1           2.010           3.161          28.079
   1           3.114           2.750          28.079
   1           2.887           1.745          28.079
   1           3.823           7.341          28.079
   1           2.652        4.517e-1          28.079
   1           2.518           1.889          28.079
   1           3.321           1.500          28.041
   1           2.290           4.553          26.967
   1           3.696           4.001          28.079
   1           3.014           4.177          28.079
   1           2.450           1.364          28.079
   1           2.446           5.266          21.120
   1           4.770           5.842          28.079
   1           2.440        8.958e-1          28.079
   1           4.962           6.787          28.079
   1           1.496           1.307          26.700
   1           3.528        6.211e-1          28.079
   1           4.127           4.853          24.362
   1           2.457           3.865          28.079
   1           1.417           2.519          28.079
   1           2.355           3.521          28.079
   1           2.424           3.429          28.055
   1           1.301           1.892          27.449
   1           1.658           4.080          28.079
   1           1.615           6.703          21.981
   1           3.221           3.031          28.079
   1           2.622           3.237          26.193
   1           2.328           3.090          28.079
   1           4.413          12.237          28.079
   1           1.815           1.435          19.727
   1           4.343           2.829          28.079
   1           2.033           2.102          18.071
   1           3.402           4.063          28.079
   1           4.818          11.081          28.079
   1           1.688           5.118          28.079
   1           3.600           4.297          28.079
   1           2.229           3.712          28.079
   1           3.982           3.164          28.079
   1           2.672           8.023          18.914
   1           1.417           2.371          22.621
   1           3.870          12.765          28.079
   1           3.859           2.793          28.079
   1           2.367           6.086          26.154
   1           1.462           2.208          26.879
   1           2.401           6.586          28.079
   1           2.017           4.367          25.324
   1           1.318           3.101          26.015
   1           2.365           2.833          27.995
   1           2.292           4.583          27.805
   1           2.043           2.475          25.998
   1           1.922           4.295          26.751
   1           3.212           3.268          28.079
   1           3.781        7.143e-1          28.079
   1           3.231           5.388          28.079
   1           3.074           4.164          28.079
   1           2.732           5.520          28.079
   1           4.256           2.400          27.463
   1           3.478           6.477          27.150
   1           3.357           5.939          27.790
   1           1.950           4.195          28.079
   1           3.865           2.762          28.079
   1           3.154          13.514          27.947
   1           3.231           4.495          27.490
   1           2.951           1.993          28.079
   1           4.320          10.246          28.079
   1           2.393           5.372          28.079
   1           3.461           7.469          28.032
   1           3.633           5.087          28.079
   1           2.511           2.123          27.482
   1           2.602           7.185          27.699
   1           2.093           2.833          28.079
   1           3.942           2.861          28.079
   1           3.061           1.799          28.079
   1           1.865        4.586e-1          27.780
   1           1.933           7.292          28.079
   1           3.534           4.138          27.720
   1           2.479           4.305          24.751
   1           3.393           3.803          28.079
   1           4.330           2.753          27.113
   1           2.905           8.059          28.079
   1           2.779           7.901          27.146
   1           3.656           5.636          28.079
   1           2.616           2.092          28.079
   1           2.683           3.072          28.065
   1           2.663           2.943          28.079
   1           1.512           2.826          24.332
   1           3.891           6.365          28.079
   1           1.607           3.816          28.079
   1           3.673           8.111          28.079
   1           2.022           4.403          27.780
   1           2.884           1.167          28.079
   1           3.124           2.088          28.079
   1           2.390           5.285          28.079
   1           2.662           3.496          28.079
   1           3.402           5.478          28.079
   1           3.703           4.933          27.241
   1           2.821           2.023          25.065
   1           4.187           5.284          23.598
   1           3.537        3.157e-1          28.079
   1           1.585        5.931e-1          28.079
   1           2.468           4.783          28.079
   1           4.428           4.209          28.079
   1           1.986           1.392          28.079
   1           4.066           4.804          26.785
   1           3.058           5.513          27.082
   1           1.886           1.423          28.079
   1           2.125           3.681          28.079
   1           1.972           2.058          28.079
   1           5.115           9.462          28.079
   1           2.697        8.196e-1          24.409
   1           3.594           3.942          24.460
   1           2.456           1.834          28.079
   1           2.133           4.522          28.079
   1           2.918           6.698          19.131
   1           2.849           5.755          26.435
   1           2.163           6.464          26.495
   1           4.404           4.189          28.079
   1           3.546           6.722          28.079
   1           2.789           3.888          28.079
   1           3.516           2.375          28.079
   1           2.002           3.535          28.079
   1           3.214          10.241          28.079
   1           3.799           2.800          28.031
   1           2.430           2.273          28.079
   1           4.446           6.535          19.655
   1           4.252           6.254          28.079
   1           2.426           1.609          27.033
   1           3.221           4.238          25.901
   1           2.068           4.879          28.079
   1           2.633           5.945          28.079
   1           2.558           3.112          28.079
   1           1.953           2.971          28.079
   1           2.509           1.821          28.079
   1           3.032           6.872          28.079
   1           1.849           2.417          26.761
   1           3.247           5.711          28.079
   1           2.726           3.061          27.516
   1           2.113           3.606          28.079
   1           3.392           5.402          28.079
   1           2.660           5.020          28.079
   1           2.874           3.694          28.079
   1           2.456           6.912          19.201
   1           3.133           8.992          27.321
   1           2.459        2.176e-1          28.079
   1           2.622           1.313          28.079
   1           1.985           7.797          28.079
   1           1.891           1.849          28.079
   1           2.757           4.566          28.079
   1           3.990           8.344          28.079
   1           3.346           4.559          28.079
   1           2.430           4.733          28.079
   1           3.673           2.378          27.869
   1           2.980           3.832          24.280
   1           3.082           1.085          28.079
   1           2.098           4.016          28.079
   1           1.518           1.954          28.001
   1           2.148           5.380          24.000
   1           3.061           4.847          28.079
   1           1.713           1.846          27.472
   1           2.888           5.342          28.079
   1           2.285           3.326          28.079
   1           2.994           7.012          28.079
   1           3.487           9.708          28.079
   1           4.003           3.492          28.079
   1           1.787           1.405          28.034
   1           2.435           1.345          28.079
   1           3.629           6.925          28.079
   1           2.310           5.644          28.079
   1           2.586           5.601          23.059
   1           2.369           3.741          28.079
   1           1.978           7.448          28.079
   1           2.567           1.466          28.079
   1           3.098           4.716          27.188
   1           3.797           2.461          28.079
   1           2.536           1.058          27.893
   1           2.823           1.436          28.079
   1           2.788           4.518          28.011
   1           2.038           7.099          28.079
   1           3.005           3.109          28.079
   1           2.731           2.299          28.079
   1           2.429           5.487          28.079
   1           1.748        3.940e-1          28.079
   1           4.921           1.703          28.079
   1           1.826           1.768          28.079
   1           1.494           1.851          26.571
   1           2.488           2.890          22.688
   1           1.946           1.142          28.079
   1           3.263           2.639          28.079
   1           2.273           2.757          28.079
   1           2.694           4.026          28.079
   1           4.602           1.348          28.079
   1           2.901           6.316          28.079
   1           2.356           3.574          27.683
   1           2.889           6.524          27.831
   1           3.176           5.545          28.079
   1           4.202           2.006          28.079
   1           3.093           8.316          28.079
   1           2.450           2.392          26.737
   1           3.207           2.142          28.079
   1           3.614           6.339          28.079
   1           1.881           1.953          28.079
   1           3.361           6.026          28.079
   1           3.954           3.016          21.874
   1           3.532           5.711          28.079
   1           2.889           4.011          28.079
   1           2.376           6.295          28.079
   1           3.850           4.740          28.079
   1           2.655           6.224          27.924
   1           3.164           7.831          28.079
   1           2.621           4.954          28.079
   1           1.665           4.791          28.079
   1           2.853           7.643          24.282
   1           2.321          11.002          28.079
   1           1.589           4.611          28.079
   1           2.227           6.572          28.034
   1           3.279           3.048          26.883
   1           3.280           4.752          28.079
   1           2.939           4.294          27.776
   1           1.644           1.897          28.079
   1           3.586           5.144          28.079
   1           2.797           1.942          28.079
   1           1.914           1.154          27.233
   1           2.186        3.203e-1          24.666
   1           2.450           2.844          28.079
   1           2.897           3.597          28.079
   1           2.134           3.708          28.079
   1           3.110           1.962          28.079
   1           2.946           3.121          27.508
   1           2.777           3.554          26.430
   1           2.308           2.869          28.079
   1           1.798           7.134          28.079
   1           3.381           5.072          27.952
   1           3.250           4.089          28.079
   1           3.742           6.025          28.079
   1           3.861           1.738          28.079
   1           1.716           3.016          28.079
   1           2.643           5.833          28.079
   1           2.736           4.170          28.079
   1           3.027           2.647          28.079
   1           2.935           3.360          28.079
   1           2.027           5.146          28.079
   1           2.567           3.033          28.079
   1           2.280        5.256e-1          28.079
   1           2.920           4.214          28.079
   1           3.065           3.580          27.569
   1           2.407           3.358          27.027
   1           2.058        4.638e-1          28.079
   1           3.751           2.898          28.079
   1           1.883           1.711          28.079
   1           1.517           1.461          27.558
   1           2.847           3.977          28.079
   1           2.458           3.416          28.079
   1           2.876           2.826          28.079
   1           2.199           2.849          28.079
   1           2.002        7.076e-1          28.079
   1           1.879           1.753          28.079
   1           1.335        4.387e-1          28.079
   1           2.103           1.866          28.079
   1           3.466           3.916          28.079
   1           4.953           9.822          28.079
   1           2.044           5.019          28.079
   1           3.719           7.206          28.079
